iter	Accuracy	Logloss
414	0.8784773109	0.2622665871
415	0.8785071519	0.2622584287
416	0.8785071519	0.2622512669
417	0.8785071519	0.2622437661
418	0.8785137832	0.262237748
419	0.8785237303	0.262228922
420	0.8785137832	0.2622175905
421	0.8785038362	0.2622064445
422	0.8785170989	0.2621973
423	0.8785005206	0.2621901542
424	0.8785137832	0.2621805529
425	0.8785170989	0.2621732539
426	0.8785204146	0.2621646493
427	0.8785270459	0.2621567466
428	0.8785270459	0.2621492672
429	0.8785137832	0.2621416653
430	0.8785204146	0.2621351607
431	0.8785270459	0.2621271033
432	0.8785038362	0.2621152029
433	0.8785137832	0.2621063908
434	0.8785104676	0.2620929082
435	0.8785270459	0.2620821474
436	0.8785270459	0.262072043
437	0.8785237303	0.2620626236
438	0.8785204146	0.2620554128
439	0.8785170989	0.2620486776
440	0.8785071519	0.2620438701
441	0.8785336773	0.2620363763
442	0.8785403086	0.2620313582
443	0.8785436243	0.2620191635
444	0.8785336773	0.2620093377
445	0.8785336773	0.2620021826
446	0.8785403086	0.2619932008
447	0.8785436243	0.2619877456
448	0.8785237303	0.2619809724
449	0.8785303616	0.2619766315
450	0.8785303616	0.2619673664
451	0.8785403086	0.2619616523
452	0.8785502556	0.2619535645
453	0.8785535713	0.2619402494
454	0.8785436243	0.2619340135
455	0.8785403086	0.2619279544
456	0.8785336773	0.2619188755
457	0.878566834	0.2619136183
458	0.8785635183	0.2619051728
459	0.878566834	0.2618965044
460	0.878576781	0.2618918965
461	0.878576781	0.2618866186
462	0.878566834	0.2618775761
463	0.8785800967	0.2618703549
464	0.8785834124	0.2618635158
465	0.8785800967	0.2618600665
466	0.8785834124	0.2618484643
467	0.8785701497	0.2618343557
468	0.878576781	0.2618247427
469	0.878576781	0.2618145428
470	0.878576781	0.2618071735
471	0.878586728	0.2617995337
472	0.8786033064	0.2617941308
473	0.8786033064	0.2617847584
474	0.8786165691	0.2617760612
475	0.8786165691	0.2617707474
476	0.8786331474	0.2617623547
477	0.8786265161	0.2617570839
478	0.8786298318	0.2617507055
479	0.8786331474	0.2617426276
480	0.8786331474	0.2617351051
481	0.8786132534	0.2617273207
482	0.8786198847	0.2617130021
483	0.8786298318	0.2617066561
484	0.8786364631	0.261698192
485	0.8786430945	0.261693266
486	0.8786497258	0.2616879015
487	0.8786497258	0.2616811426
488	0.8786596728	0.2616718306
489	0.8786729355	0.2616629678
490	0.8786729355	0.2616537586
491	0.8786696198	0.2616459446
492	0.8786563571	0.2616380359
493	0.8786663042	0.2616335445
494	0.8786795668	0.2616281066
495	0.8786795668	0.2616186277
496	0.8786861982	0.2616111997
497	0.8786861982	0.2616041708
498	0.8786861982	0.2615986147
499	0.8786861982	0.261594392
500	0.8786895139	0.2615883192
501	0.8786729355	0.2615774338
502	0.8786629885	0.2615703591
503	0.8786596728	0.2615632308
504	0.8786762512	0.2615570765
505	0.8786762512	0.2615492293
506	0.8786762512	0.2615422236
507	0.8786762512	0.2615388622
508	0.8786828825	0.2615298831
509	0.8786828825	0.2615230619
510	0.8786795668	0.2615186573
511	0.8786928295	0.2615095397
512	0.8787027765	0.261499204
513	0.8787060922	0.2614924604
514	0.8787060922	0.2614874104
515	0.8787060922	0.2614787515
516	0.8787094079	0.2614740927
517	0.8786994609	0.2614658855
518	0.8786928295	0.2614598924
519	0.8786928295	0.2614535329
520	0.8786895139	0.2614457022
521	0.8786928295	0.2614375215
522	0.8786928295	0.2614354031
523	0.8786994609	0.2614270858
524	0.8787094079	0.2614164345
525	0.8787060922	0.2614098756
526	0.8787060922	0.2614034491
527	0.8786994609	0.2613963095
528	0.8787027765	0.2613912111
529	0.8787094079	0.2613836723
530	0.8787160392	0.2613771139
531	0.8787259862	0.2613713524
532	0.8787060922	0.2613611489
533	0.8787094079	0.2613569499
534	0.8787060922	0.2613537693
535	0.8787027765	0.261346149
536	0.8787027765	0.2613353369
537	0.8787226706	0.2613328027
538	0.8787127236	0.2613210028
539	0.8787226706	0.2613143019
540	0.8787392489	0.2613089204
541	0.8787491959	0.2613032333
542	0.8787425646	0.2612979053
543	0.8787491959	0.2612942827
544	0.8787491959	0.261284158
545	0.8787558273	0.2612783972
546	0.8787624586	0.2612712513
547	0.8787657743	0.2612633837
548	0.87876909	0.2612562314
549	0.87876909	0.2612486779
550	0.8787624586	0.2612406014
551	0.8787657743	0.2612352555
552	0.8787757213	0.2612259338
553	0.8787624586	0.2612168704
554	0.8787657743	0.2612080357
555	0.8787657743	0.2612030489
556	0.8787922997	0.2611958371
557	0.878808878	0.2611882336
558	0.878798931	0.2611823707
559	0.8787956154	0.2611747331
560	0.878798931	0.261167667
561	0.8787956154	0.2611578306
562	0.8787956154	0.2611459977
563	0.8787922997	0.2611373531
564	0.8787956154	0.261131055
565	0.8787922997	0.2611195493
566	0.8787922997	0.2611069469
567	0.878798931	0.2610964753
568	0.8788121937	0.2610915242
569	0.8788055624	0.2610861202
570	0.8788055624	0.2610809243
571	0.878808878	0.2610734847
572	0.8788121937	0.2610656124
573	0.8788188251	0.2610538044
574	0.8788188251	0.2610462184
575	0.8788155094	0.2610384331
576	0.8788254564	0.261031923
577	0.8788221407	0.2610253407
578	0.8788221407	0.2610172262
579	0.8788155094	0.2610101752
580	0.8788188251	0.2610002948
581	0.8788121937	0.2609910647
582	0.8788221407	0.2609846317
583	0.8788188251	0.2609779009
584	0.8788287721	0.2609727139
585	0.8788287721	0.2609684302
586	0.8788387191	0.2609585455
587	0.8788552974	0.2609497883
588	0.8788453504	0.260943211
589	0.8788486661	0.2609375967
590	0.8788453504	0.2609326941
591	0.8788453504	0.2609266694
592	0.8788387191	0.2609194374
593	0.8788354034	0.260910469
594	0.8788354034	0.2609027833
595	0.8788453504	0.2608936076
596	0.8788486661	0.2608890363
597	0.8788619288	0.2608807271
598	0.8788619288	0.2608715933
599	0.8788718758	0.260861057
600	0.8788785072	0.2608530318
601	0.8788818228	0.2608478406
602	0.8788818228	0.2608402894
603	0.8788984012	0.2608349704
604	0.8788917698	0.2608297356
605	0.8788851385	0.2608217526
606	0.8788818228	0.2608138282
607	0.8788818228	0.2608093565
608	0.8788785072	0.2607997757
609	0.8788818228	0.2607929001
610	0.8788884542	0.2607859059
611	0.8788917698	0.2607794705
612	0.8788950855	0.2607677949
613	0.8789083482	0.2607616504
614	0.8789083482	0.2607552147
615	0.8789116639	0.2607517899
616	0.8789083482	0.2607418094
617	0.8789116639	0.2607361086
618	0.8789216109	0.2607278896
619	0.8789149795	0.2607216829
620	0.8789216109	0.2607182432
621	0.8789216109	0.2607138523
622	0.8789182952	0.2607044613
623	0.8789282422	0.2606918954
624	0.8789282422	0.2606836822
625	0.8789116639	0.2606756283
626	0.8789116639	0.2606634637
627	0.8789050325	0.2606581584
628	0.8789050325	0.260654691
629	0.8789182952	0.26064748
630	0.8789249266	0.2606404324
631	0.8789216109	0.2606373164
632	0.8789182952	0.2606323454
633	0.8789216109	0.2606255242
634	0.8789249266	0.2606181562
635	0.8789282422	0.2606138444
636	0.8789348736	0.260608907
637	0.8789381892	0.2605999951
638	0.8789348736	0.2605887093
639	0.8789381892	0.2605826822
640	0.8789415049	0.2605758093
641	0.8789415049	0.2605645084
642	0.8789514519	0.26055822
643	0.8789514519	0.2605494655
644	0.8789514519	0.2605429722
645	0.8789514519	0.2605352154
646	0.8789514519	0.2605338549
647	0.8789613989	0.2605275673
648	0.8789613989	0.2605230732
649	0.8789547676	0.2605173656
650	0.8789647146	0.2605107079
651	0.8789514519	0.2605045523
652	0.8789647146	0.2604972324
653	0.8789746616	0.2604907507
654	0.878971346	0.2604809411
655	0.8789746616	0.2604745732
656	0.8789779773	0.260465005
657	0.8789846087	0.2604595042
658	0.8790045027	0.2604526508
659	0.8789945557	0.2604455591
660	0.879001187	0.2604395847
661	0.87899124	0.2604307985
662	0.8790045027	0.2604235756
663	0.8790045027	0.2604211545
664	0.879001187	0.2604151989
665	0.8790045027	0.2604092223
666	0.8790045027	0.2604011821
667	0.8790045027	0.2603947744
668	0.879011134	0.2603878388
669	0.8790078184	0.2603830432
670	0.8790144497	0.2603754587
671	0.8790243967	0.2603694713
672	0.8790277124	0.2603619276
673	0.8790442907	0.2603550558
674	0.8790509221	0.2603469264
675	0.8790376594	0.2603429047
676	0.8790376594	0.2603399521
677	0.8790476064	0.2603343582
678	0.8790608691	0.260324442
679	0.8790608691	0.2603151772
680	0.8790675004	0.2603098947
681	0.8790542378	0.2603020943
682	0.8790575534	0.2602973924
683	0.8790476064	0.2602905831
684	0.8790509221	0.2602839572
685	0.8790641848	0.2602775084
686	0.8790608691	0.2602725579
687	0.8790641848	0.2602663135
688	0.8790641848	0.2602583134
689	0.8790741318	0.2602532391
690	0.8790708161	0.2602464851
691	0.8790741318	0.2602397899
692	0.8790509221	0.2602336637
693	0.8790807631	0.2602269842
694	0.8790774475	0.2602195495
695	0.8790807631	0.2602128039
696	0.8791006572	0.260205738
697	0.8791139199	0.2602017753
698	0.8791039728	0.2601939304
699	0.8791139199	0.2601856211
700	0.8791172355	0.2601783982
701	0.8791039728	0.2601719635
702	0.8791139199	0.2601667756
703	0.8790873945	0.2601615991
704	0.8791006572	0.2601564455
705	0.8791072885	0.2601530589
706	0.8791072885	0.2601485177
707	0.8791006572	0.2601448034
708	0.8791139199	0.2601329367
709	0.8791404452	0.2601242546
710	0.8791271825	0.2601147114
711	0.8791338139	0.2601104835
712	0.8791603393	0.2601021942
713	0.8791570236	0.2600973157
714	0.8791503922	0.2600904589
715	0.8791570236	0.2600848873
716	0.8791636549	0.2600766973
717	0.8791669706	0.2600689467
718	0.8791636549	0.2600640301
719	0.8791669706	0.2600625779
720	0.8791769176	0.260056173
721	0.8791603393	0.2600433902
722	0.8791570236	0.2600342853
723	0.879183549	0.2600277411
724	0.8791802333	0.26002329
725	0.8791868646	0.2600154368
726	0.879183549	0.2600093458
727	0.8791868646	0.2600040473
728	0.8791802333	0.2599957168
729	0.8791702863	0.2599879739
730	0.8791968116	0.2599816773
731	0.8792067587	0.2599776561
732	0.8792100743	0.2599720619
733	0.8792067587	0.2599651454
734	0.8792100743	0.2599568274
735	0.8791968116	0.2599500477
736	0.879203443	0.259944484
737	0.879203443	0.259935979
738	0.8791901803	0.2599290222
739	0.879203443	0.2599179854
740	0.879203443	0.2599062997
